W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,Gain,Gain_Phase,UGBW,PM_db,PM_PH
11.243u,450.695n,3.377u,448.768n,9.737u,335.430n,267.279u,216.309n,65.548u,304.114n,10.339u,0.630p,64.4949696288,92.7587113043,16799.9862051,39.074766488,0.0
17.293u,226.544n,11.052u,509.171n,21.550u,237.474n,83.338u,439.849n,132.423u,210.475n,12.400u,1.364p,82.5346933301,90.7794246897,133715.317057,38.7670531219,0.0
14.362u,333.784n,12.542u,353.568n,17.523u,349.137n,205.458u,306.919n,130.242u,240.801n,16.399u,1.598p,84.9457116606,90.9294856691,176616.568757,38.8519276841,0.0
6.709u,383.037n,24.610u,249.338n,23.761u,381.906n,219.956u,451.964n,25.413u,414.297n,20.169u,2.472p,67.7197886386,94.2769862636,24389.0814441,38.98893348,0.0
15.747u,265.163n,14.542u,485.173n,20.368u,499.902n,343.290u,255.820n,64.773u,243.480n,10.083u,2.291p,67.6287343792,91.9178775946,24082.8816871,39.0573699682,0.0
2.174u,295.519n,16.990u,519.831n,5.401u,348.387n,222.783u,333.574n,126.574u,459.372n,26.244u,2.653p,73.6293895192,90.472764762,48028.8274059,39.0429451776,0.0
18.392u,510.906n,18.087u,318.867n,23.376u,192.886n,307.859u,353.277n,80.615u,274.146n,17.935u,1.414p,72.8760194759,94.9556647599,44202.8330472,39.0088246247,0.0
19.903u,408.312n,24.799u,366.518n,3.028u,324.056n,226.338u,300.167n,26.442u,415.840n,23.772u,1.192p,91.0695423423,90.1839259142,355969.611411,38.516687637,0.0
17.293u,381.316n,12.869u,227.626n,10.460u,380.217n,207.761u,226.443n,32.713u,217.691n,29.340u,1.652p,82.5642308852,93.6382980252,134565.155899,38.9190870421,0.0
13.723u,489.098n,8.244u,439.081n,13.462u,221.216n,348.100u,206.248n,76.441u,469.319n,22.120u,2.803p,51.6328900991,91.3256337437,3817.63515061,39.0820623148,0.0
23.123u,359.488n,19.254u,216.045n,23.788u,193.982n,116.833u,298.062n,64.841u,519.474n,27.358u,0.713p,86.0214284011,116.582776325,221434.253941,38.2371134011,0.0
3.333u,288.571n,4.129u,467.215n,13.611u,337.150n,229.400u,335.401n,72.896u,493.257n,21.872u,2.212p,53.9059736478,90.7843685767,4959.02811035,39.0797877733,0.0
10.907u,482.106n,11.686u,189.045n,14.861u,217.847n,243.752u,312.826n,96.712u,180.671n,25.686u,2.248p,80.6869764747,90.8045672117,108230.138224,38.9615555198,0.0
6.891u,451.445n,18.746u,253.415n,2.037u,350.488n,274.579u,480.874n,111.001u,194.735n,22.942u,1.399p,70.0710775814,96.2804505009,32079.0360116,39.0707320502,0.0
15.360u,409.548n,19.856u,474.789n,17.863u,296.996n,310.712u,204.539n,133.198u,416.976n,12.177u,2.167p,66.9642858121,90.7090846071,22298.5963242,39.0608322791,0.0
6.305u,478.050n,23.181u,486.252n,11.913u,251.078n,229.951u,397.398n,14.338u,334.955n,10.759u,1.353p,59.7227521826,91.2471719565,9689.23062154,39.0527430217,0.0
6.827u,213.278n,14.961u,471.947n,21.274u,416.141n,230.132u,219.902n,97.806u,407.489n,20.211u,2.723p,66.2243348728,92.372801347,20493.5779869,39.0625157816,0.0
6.269u,259.769n,16.893u,375.196n,2.252u,386.657n,209.789u,325.223n,62.043u,454.155n,14.345u,1.092p,83.1171627318,90.685059117,143124.863209,38.8993723122,0.0
21.859u,374.617n,4.899u,297.389n,8.781u,190.362n,260.065u,386.358n,52.154u,204.460n,27.458u,2.732p,69.6600905197,91.3393659937,30420.5997611,39.0525484095,0.0
18.412u,233.122n,17.349u,489.046n,2.661u,460.060n,141.173u,471.029n,99.918u,193.808n,27.316u,0.501p,85.6451832973,93.1083867478,191821.667004,38.9992632939,0.0
15.336u,405.513n,20.808u,446.811n,11.109u,340.623n,266.517u,243.966n,148.408u,369.425n,17.980u,1.702p,85.6665254985,90.1281807681,191916.002082,38.8855670238,0.0
2.144u,286.365n,11.509u,406.702n,8.107u,461.468n,197.377u,499.546n,137.705u,279.452n,15.570u,0.966p,74.6234161386,95.711265921,54121.0738648,39.0346323822,0.0
14.645u,336.313n,3.158u,334.009n,9.358u,509.723n,102.769u,378.191n,62.224u,210.864n,11.557u,0.939p,87.9687161649,90.5927002246,249410.324093,38.591598918,0.0
3.561u,294.700n,3.767u,241.761n,18.405u,393.952n,140.061u,225.441n,104.600u,406.134n,20.937u,2.336p,63.2161556009,90.6639232177,14482.8173621,39.0668104853,0.0
22.482u,350.544n,15.962u,233.275n,6.432u,386.295n,103.851u,297.183n,89.416u,381.783n,28.786u,2.696p,78.3479893979,93.8003311765,82853.7504024,38.9728369477,0.0
11.729u,365.227n,10.734u,402.714n,15.453u,306.322n,222.278u,359.968n,51.396u,469.945n,12.407u,0.885p,69.9720674964,94.0706382633,31599.7524801,39.0212339127,0.0
7.854u,456.415n,24.971u,346.845n,12.573u,312.202n,264.936u,239.294n,132.834u,298.136n,21.439u,1.763p,80.764258145,90.3065240953,109190.345863,38.9829405719,0.0
11.083u,226.808n,11.725u,290.581n,14.474u,479.229n,298.019u,482.689n,48.477u,379.695n,17.996u,1.105p,82.0291641769,92.8960101148,126369.676115,38.8354451199,0.0
13.933u,472.077n,8.015u,272.405n,23.881u,408.803n,212.829u,443.309n,97.697u,515.212n,14.563u,2.306p,69.1453335385,91.6539800196,28672.2001445,39.0118721606,0.0
17.791u,489.048n,13.700u,194.803n,20.193u,268.011n,151.608u,262.469n,61.174u,462.330n,29.246u,1.600p,76.9814180118,90.8626952443,70629.7886075,38.9264780527,0.0
3.888u,349.214n,20.900u,309.903n,16.419u,516.481n,276.286u,345.355n,124.505u,295.073n,16.333u,1.348p,77.9242819647,91.322305267,78764.5846337,38.9963739454,0.0
15.024u,416.346n,3.914u,439.184n,13.869u,426.664n,145.534u,460.390n,92.744u,305.682n,23.752u,0.687p,85.5286765445,92.0255307652,188880.283725,38.7895741503,0.0
23.231u,250.634n,23.124u,416.087n,12.316u,412.140n,253.970u,251.411n,86.219u,475.217n,17.447u,0.455p,94.4475175243,98.2972143484,528795.524622,38.3230455199,0.0
3.548u,428.142n,14.241u,350.290n,14.162u,180.698n,65.666u,426.001n,25.145u,290.093n,23.053u,2.494p,68.9319023767,90.5064692961,27952.331704,38.882373415,0.0
3.272u,482.155n,5.431u,503.931n,23.946u,238.973n,320.658u,516.816n,74.049u,277.701n,18.603u,1.904p,51.9863205509,91.2775962547,3975.90789955,39.079845484,0.0
15.371u,385.019n,4.015u,377.305n,6.039u,363.120n,34.651u,433.016n,99.375u,351.481n,22.431u,2.836p,70.4157152248,91.0373312581,33178.6021288,39.029410332,0.0
18.563u,406.405n,18.531u,234.307n,6.049u,385.752n,133.582u,443.509n,61.020u,413.118n,19.651u,2.699p,76.4003853053,90.9517731509,66059.6424137,38.9313689242,0.0
3.118u,214.633n,4.158u,456.206n,23.601u,312.063n,263.648u,487.964n,53.840u,376.165n,17.473u,1.524p,53.6758870141,91.1609437886,4829.90095816,39.0777089424,0.0
4.341u,217.833n,13.779u,519.793n,9.388u,345.837n,354.166u,422.789n,85.607u,213.938n,15.959u,0.548p,90.7112352747,90.8621405995,342359.127085,38.6633489899,0.0
8.785u,200.209n,16.451u,268.449n,6.560u,497.792n,57.440u,496.043n,137.604u,327.780n,14.345u,2.752p,60.7312793441,94.6201516453,10914.7410416,39.0683518353,0.0
6.243u,434.283n,26.945u,266.995n,21.508u,443.399n,252.741u,419.008n,15.374u,305.594n,23.992u,1.886p,68.5854831823,90.7835054176,26871.6670928,39.0065671027,0.0
6.202u,350.757n,13.873u,314.063n,18.226u,379.159n,228.217u,295.358n,121.731u,295.080n,24.405u,2.147p,81.5007942502,90.2536799375,118827.843584,38.9186026695,0.0
2.794u,511.495n,25.237u,211.617n,4.580u,279.756n,301.350u,453.936n,16.790u,230.726n,18.209u,2.817p,72.0693777579,90.5246192149,40130.4632554,38.9852252849,0.0
3.406u,258.385n,21.960u,286.350n,8.072u,272.778n,279.799u,221.489n,65.703u,497.840n,28.488u,2.161p,72.3007013757,90.5719043377,41219.4349223,39.0403814218,0.0
6.858u,406.098n,27.160u,269.029n,20.985u,424.121n,248.058u,332.572n,141.885u,299.389n,29.186u,2.798p,75.0109370382,90.3669301471,56304.9544095,39.0272443147,0.0
10.740u,295.802n,12.607u,501.378n,10.904u,449.556n,77.663u,484.278n,103.255u,491.486n,10.124u,0.932p,81.3708324715,91.99572019,116933.654011,38.7120114006,0.0
3.537u,490.145n,25.799u,323.686n,13.166u,412.916n,147.652u,256.687n,49.928u,397.904n,23.758u,0.473p,90.7687254824,90.4757172578,342472.058698,38.3089181274,0.0
10.997u,465.116n,3.831u,317.094n,16.909u,258.900n,197.412u,390.572n,91.172u,410.369n,12.995u,0.936p,67.0923956755,91.7823227572,22640.1655636,39.0475996598,0.0
12.516u,505.638n,21.315u,341.798n,20.986u,445.372n,117.237u,488.866n,148.934u,206.780n,13.413u,2.826p,64.3352016185,92.1342648915,16485.6515077,39.0610121843,0.0
2.141u,308.233n,23.004u,347.390n,21.586u,394.041n,151.438u,292.625n,128.997u,483.858n,26.614u,2.941p,73.7233099947,90.1626073977,48547.9412371,38.996235403,0.0
6.454u,235.893n,18.287u,233.440n,18.988u,366.079n,256.355u,409.463n,45.053u,332.980n,22.116u,2.191p,76.2924250314,95.9293298904,65589.6116069,38.922126769,0.0
6.187u,255.044n,10.669u,424.596n,20.927u,242.426n,74.434u,301.029n,143.193u,271.578n,15.703u,0.995p,84.2206978898,90.7830510864,162210.57616,38.6950213018,0.0
23.269u,259.364n,22.925u,486.813n,5.795u,278.003n,269.030u,512.140n,127.725u,182.907n,27.561u,0.722p,88.2805394016,108.691372777,273808.853106,38.9319428495,0.0
8.566u,262.686n,24.458u,298.389n,2.938u,335.407n,322.270u,506.401n,75.558u,430.334n,13.284u,1.477p,79.7217184636,90.6423064429,96833.5937611,38.937615426,0.0
11.025u,452.535n,16.606u,496.857n,4.699u,180.946n,279.702u,438.354n,84.922u,208.612n,18.690u,1.041p,84.9987874911,92.0565034686,177827.165002,38.9034900035,0.0
9.033u,200.453n,9.485u,468.557n,18.520u,276.747n,139.386u,325.236n,89.375u,440.512n,22.785u,2.198p,70.1602540588,91.2626960065,32220.5049415,39.0218193418,0.0
6.680u,394.324n,4.209u,205.397n,15.354u,255.309n,191.523u,206.093n,115.878u,383.785n,25.323u,1.869p,65.3673384974,90.8608983527,18554.3220291,39.06871043,0.0
15.420u,289.819n,4.124u,403.633n,19.434u,181.294n,192.699u,262.898n,33.222u,272.176n,28.442u,2.588p,50.688838178,90.8078637967,3424.06635051,39.0793835531,0.0
3.330u,295.877n,5.724u,500.719n,23.207u,367.177n,68.546u,316.172n,87.632u,462.669n,13.816u,2.789p,60.8346507902,90.5404087438,11009.7222786,39.0431277425,0.0
3.148u,448.901n,16.178u,329.606n,6.716u,259.780n,236.053u,247.241n,16.758u,400.095n,10.450u,2.137p,53.8908584546,90.7818664975,4950.39771156,39.074118245,0.0
3.109u,378.835n,11.588u,325.257n,3.213u,430.247n,282.062u,389.668n,23.603u,244.900n,29.709u,0.683p,88.7394655758,90.8186861936,273245.498649,38.8086293506,0.0
20.978u,435.824n,13.668u,263.386n,11.925u,199.649n,96.199u,185.199n,144.925u,303.830n,24.707u,2.739p,80.2585178238,90.8288414542,103015.323744,38.9493685233,0.0
21.446u,388.141n,22.557u,333.848n,16.405u,185.790n,115.204u,494.410n,95.999u,425.390n,12.533u,1.893p,81.3940638256,92.8401460909,117010.938617,38.512939863,0.0
12.030u,213.748n,5.165u,373.448n,3.932u,484.769n,113.512u,251.573n,56.285u,389.653n,22.472u,0.468p,99.3079293545,90.5700603988,907439.847374,37.9773507209,0.0
12.237u,294.194n,13.191u,439.155n,22.751u,465.708n,356.745u,415.913n,96.411u,465.682n,13.415u,2.988p,65.1950126018,90.5118530353,18187.3346578,39.0556279444,0.0
19.866u,242.611n,3.690u,280.399n,21.563u,515.382n,275.484u,296.831n,91.891u,260.985n,23.368u,1.784p,72.9610099347,90.8919048482,44476.736046,39.0529627058,0.0
19.315u,255.366n,15.721u,472.176n,15.354u,512.091n,353.050u,516.116n,100.952u,465.574n,14.403u,1.198p,85.0469810022,90.9705050527,178554.620832,38.762882122,0.0
11.272u,433.040n,22.769u,471.606n,2.993u,478.813n,319.577u,450.969n,120.846u,328.605n,24.376u,0.944p,82.3176155047,91.267915376,130619.616747,39.0133794222,0.0
8.287u,368.576n,6.407u,358.884n,8.432u,224.057n,288.545u,313.735n,115.567u,496.684n,15.845u,2.443p,62.9828745581,91.9214938483,14105.875555,39.0699127374,0.0
20.314u,432.134n,25.899u,503.684n,5.664u,330.464n,151.426u,483.368n,129.382u,445.011n,15.911u,2.835p,73.0392086336,91.7239955095,44891.668267,39.0135088491,0.0
2.383u,327.296n,14.255u,484.884n,21.846u,371.774n,333.241u,218.003n,142.264u,262.022n,27.055u,2.468p,64.0564147059,91.5789607891,15960.0269532,39.0754276018,0.0
23.898u,288.656n,18.497u,203.260n,12.042u,447.806n,317.003u,258.388n,14.124u,406.723n,12.871u,0.533p,77.3569707258,122.983475362,87917.8504645,38.928049599,0.0
6.220u,457.300n,12.257u,358.561n,4.074u,367.617n,75.798u,514.897n,129.195u,310.533n,25.741u,0.872p,71.8261284593,93.2603099748,39087.7398073,39.0523836673,0.0
20.888u,489.803n,16.932u,272.870n,17.672u,246.850n,301.056u,353.951n,80.674u,396.548n,19.154u,1.217p,77.8923944079,91.1483213236,78459.6608997,38.9481788004,0.0
23.814u,421.689n,6.223u,251.301n,3.425u,262.333n,119.273u,341.734n,23.749u,208.667n,18.358u,1.979p,85.1644277272,90.2002683325,180851.300736,38.7020181852,0.0
6.077u,419.620n,14.163u,254.018n,5.882u,333.992n,115.594u,378.934n,135.573u,301.763n,18.721u,0.710p,77.0759085786,103.140000159,73339.6798655,39.0108328908,0.0
19.915u,442.095n,3.550u,224.112n,15.425u,333.036n,318.515u,303.879n,103.481u,305.994n,17.559u,1.446p,51.8635892096,173.057637309,32424.7244159,39.073206549,0.0
4.988u,333.405n,10.583u,348.249n,9.787u,403.472n,118.362u,510.107n,78.224u,433.804n,14.984u,2.981p,71.7047038515,90.5934997268,38481.0513444,38.9800335175,0.0
10.590u,317.215n,7.052u,265.506n,4.359u,329.264n,199.231u,256.830n,47.870u,394.524n,26.291u,1.746p,79.4702717374,92.2646348687,94155.0535022,38.9853094442,0.0
12.069u,406.121n,21.991u,314.754n,6.368u,380.716n,345.064u,298.383n,94.252u,203.986n,11.210u,1.475p,79.0029760041,95.5604129249,89576.6896004,39.0059525686,0.0
10.177u,488.819n,14.978u,197.634n,19.020u,292.820n,281.221u,423.813n,119.902u,261.173n,10.148u,1.049p,81.5100056278,94.7522483569,119307.731422,38.8467442335,0.0
18.634u,445.704n,12.442u,439.235n,2.035u,255.181n,100.621u,228.892n,141.026u,421.519n,22.956u,2.228p,76.8834113753,92.3690008346,69916.9392327,39.0332024542,0.0
11.797u,398.746n,17.298u,308.279n,12.513u,329.313n,143.387u,334.455n,123.739u,480.411n,17.674u,2.114p,79.2309952037,91.0047837728,91500.9903503,38.901117376,0.0
3.506u,188.701n,11.745u,345.440n,5.193u,400.687n,138.765u,241.918n,44.193u,214.918n,17.001u,2.012p,78.1140799108,91.5379135583,80509.5462257,38.982471662,0.0
4.521u,219.141n,13.139u,491.006n,10.945u,489.906n,100.762u,199.553n,68.202u,253.352n,21.224u,1.833p,81.3922180807,90.2761487853,117347.913283,38.9334206593,0.0
13.970u,431.259n,9.911u,310.420n,10.204u,491.751n,136.485u,438.754n,71.532u,389.153n,25.104u,1.544p,83.8090594816,91.1729804476,154908.861174,38.816874633,0.0
23.595u,341.525n,21.239u,317.925n,21.598u,366.787n,285.689u,206.072n,121.418u,308.587n,24.890u,1.038p,86.9748161053,103.274142972,229188.245252,38.8664611516,0.0
21.171u,372.445n,13.059u,480.217n,15.972u,443.662n,219.313u,371.090n,146.493u,201.047n,28.653u,0.863p,90.3086121966,91.0727677707,327537.976936,38.8722799243,0.0
3.828u,419.767n,14.673u,353.592n,23.811u,499.144n,241.469u,337.569n,43.858u,231.889n,17.227u,2.913p,64.2105952231,90.4602351689,16238.6671815,39.0544453558,0.0
5.201u,337.956n,10.159u,283.718n,15.172u,345.573n,84.124u,482.197n,62.972u,185.481n,22.007u,1.247p,76.740708134,90.9840313388,68711.9384081,38.9513394825,0.0
19.528u,391.586n,26.171u,503.930n,9.583u,356.429n,318.517u,425.761n,91.392u,474.750n,29.266u,2.646p,85.5561406503,90.3764474251,189397.685926,38.8112918369,0.0
9.834u,441.838n,6.978u,201.892n,8.122u,292.035n,281.324u,505.014n,112.245u,387.111n,23.094u,2.648p,,,,,
7.866u,310.018n,21.768u,404.638n,8.059u,386.688n,92.637u,448.964n,108.949u,410.066n,13.872u,2.052p,70.9157542701,93.5712427256,35208.5611289,39.008650276,0.0
23.150u,207.050n,17.571u,410.413n,8.986u,427.423n,250.873u,509.555n,24.012u,259.050n,24.117u,0.942p,92.1665590378,90.9349260298,401275.412136,38.1876030281,0.0
18.784u,206.400n,20.613u,210.850n,21.479u,485.826n,267.587u,280.226n,80.696u,473.717n,26.018u,2.425p,83.7675754108,92.1577780842,154276.738517,38.827032088,0.0
17.353u,424.279n,11.918u,341.990n,18.715u,496.626n,277.453u,200.634n,137.647u,300.216n,20.464u,1.784p,78.8069066171,92.9130652391,87276.3410557,39.0176259663,0.0
13.397u,268.122n,7.377u,493.110n,17.868u,492.889n,271.894u,432.573n,137.434u,374.155n,25.332u,1.174p,81.6545459882,91.1174778461,120993.517078,38.9643209443,0.0
14.614u,420.602n,21.879u,495.894n,16.817u,501.599n,263.461u,279.269n,142.717u,432.306n,16.144u,1.742p,82.8647882607,90.2947921912,139007.945546,38.8889242117,0.0
19.107u,310.020n,16.150u,426.104n,2.100u,441.233n,134.818u,343.227n,61.683u,429.552n,24.678u,2.007p,81.4954494479,91.5342871081,118815.976877,38.9529490159,0.0
22.292u,309.023n,16.967u,476.272n,7.010u,367.533n,54.784u,275.753n,96.108u,186.459n,28.143u,1.481p,77.5248734777,93.3918464654,75340.7625408,39.0221073711,0.0
20.797u,265.739n,9.850u,306.191n,6.329u,476.757n,102.271u,191.712n,97.004u,215.950n,17.785u,2.348p,78.7524491175,91.1575100312,86640.7029081,39.0156124124,0.0
6.292u,330.625n,16.738u,332.129n,11.065u,387.109n,346.248u,231.791n,94.331u,264.486n,22.348u,2.798p,76.009883973,91.9699172455,63204.7184935,39.0330742165,0.0
16.456u,432.861n,3.471u,236.941n,16.749u,301.137n,355.762u,429.664n,28.374u,335.787n,15.392u,1.631p,55.196297979,91.2628104666,5753.3671602,39.0766398478,0.0
20.114u,442.702n,13.325u,457.733n,8.590u,441.323n,92.323u,427.092n,79.702u,517.094n,13.125u,1.760p,80.3419018092,90.714809172,103889.923453,38.7771394318,0.0
15.485u,305.542n,18.391u,330.388n,11.311u,455.976n,296.737u,450.405n,77.153u,262.237n,16.081u,2.291p,80.517469233,92.5062701076,106219.781116,38.9387883704,0.0
18.814u,237.642n,23.947u,514.140n,10.264u,503.364n,304.722u,434.186n,28.457u,270.572n,26.186u,2.931p,79.7144769097,93.5069583433,96927.3085129,38.9309168607,0.0
13.103u,385.032n,4.941u,503.727n,22.721u,334.148n,256.635u,302.802n,27.350u,251.959n,25.654u,1.491p,53.8679487901,110.237876544,5261.31785599,39.0833592305,0.0
21.912u,297.324n,18.869u,494.623n,16.693u,270.198n,352.595u,421.882n,123.016u,510.372n,21.853u,2.471p,73.1756013631,93.8735700978,45683.2421039,39.0215824945,0.0
8.052u,355.765n,24.560u,342.664n,5.147u,482.421n,279.030u,412.429n,130.192u,183.828n,14.015u,1.471p,71.2885500163,90.979896939,36689.7831161,39.0631708404,0.0
20.714u,502.172n,26.150u,363.506n,2.208u,267.184n,65.689u,223.575n,60.637u,513.827n,25.702u,2.668p,76.6523043632,92.6570267302,68082.0136596,38.957922051,0.0
18.634u,362.926n,15.513u,207.184n,13.580u,426.138n,170.363u,497.762n,147.798u,318.440n,29.406u,2.228p,76.4976794292,95.3884909162,67116.1662244,39.0135134468,0.0
16.387u,382.268n,18.203u,397.535n,14.865u,377.729n,146.960u,240.515n,32.067u,251.075n,24.234u,2.551p,74.144960869,90.5123216055,50963.0753279,38.9872434402,0.0
18.697u,360.337n,9.191u,459.421n,22.532u,465.827n,245.738u,516.897n,24.831u,324.278n,14.404u,1.837p,63.2857917873,92.872430799,14618.0004187,39.0493245491,0.0
15.912u,444.559n,5.718u,367.477n,9.406u,266.172n,175.305u,514.762n,79.979u,446.885n,23.505u,1.033p,2.49226765367,179.992684052,70834.4934584,42.7500516663,0.0
9.069u,201.189n,23.262u,298.851n,16.725u,271.435n,291.185u,488.520n,134.633u,276.114n,25.121u,1.996p,81.8662667542,92.4393114269,124052.784518,38.9307332849,0.0
12.149u,223.099n,16.916u,249.217n,10.710u,261.505n,176.271u,316.670n,52.362u,457.553n,10.057u,2.134p,76.6404975478,92.7303486551,67940.2462153,38.8227497005,0.0
15.039u,517.577n,17.358u,413.918n,16.016u,232.942n,232.563u,335.166n,73.425u,261.400n,16.422u,2.800p,70.1069766716,91.5322140749,32028.6069028,39.0218089028,0.0
8.967u,494.415n,3.522u,338.934n,10.299u,215.583n,96.892u,497.308n,66.199u,476.502n,11.722u,1.032p,70.6461785002,91.7869645815,34075.8589857,38.9481433423,0.0
19.305u,516.402n,18.667u,514.993n,6.786u,246.417n,122.134u,508.561n,104.250u,202.664n,28.070u,2.674p,72.3621585643,92.1127783768,41535.9939807,39.0439495289,0.0
17.205u,447.872n,15.595u,237.493n,13.752u,283.746n,199.878u,180.835n,20.103u,207.079n,23.880u,1.541p,71.0022484477,93.4257931403,35554.6032287,39.0383563686,0.0
13.883u,349.027n,8.021u,398.113n,17.479u,398.985n,212.949u,287.972n,32.730u,214.003n,13.084u,1.214p,68.5555490312,91.3517088777,26787.2354136,39.045658234,0.0
18.048u,287.105n,18.755u,388.701n,15.875u,208.008n,115.300u,342.124n,137.875u,294.573n,29.085u,1.674p,85.0650435123,93.9412374601,179409.098157,38.8087578452,0.0
12.716u,322.339n,24.474u,405.081n,13.160u,398.048n,85.260u,492.206n,22.679u,480.984n,19.507u,2.956p,81.8676929606,90.1916099444,122162.648784,38.0391182955,0.0
9.292u,335.179n,19.301u,334.717n,23.684u,471.221n,125.070u,271.511n,110.120u,444.814n,24.540u,0.894p,89.7348946155,90.5335058847,305087.252301,38.4766928935,0.0
11.901u,326.292n,4.380u,460.159n,3.502u,387.672n,279.437u,244.448n,93.815u,383.358n,17.177u,2.334p,71.1988077608,113.420450354,39566.1372391,39.0636124992,0.0
3.140u,408.353n,25.893u,190.950n,18.756u,453.769n,267.523u,369.914n,103.202u,344.850n,28.024u,1.273p,78.9965048782,90.6573986544,89077.1946295,38.9671568209,0.0
14.451u,491.267n,23.599u,498.991n,17.480u,327.885n,133.470u,347.816n,45.689u,323.247n,26.278u,1.579p,80.2653821342,90.6797683603,102989.195131,38.7897126128,0.0
7.605u,417.008n,9.250u,495.207n,3.013u,446.828n,339.108u,303.840n,116.846u,249.536n,10.544u,1.161p,79.7716267786,90.6709882463,97413.6394712,39.0319449547,0.0
20.167u,250.163n,26.698u,189.634n,5.271u,515.970n,236.973u,196.217n,130.741u,221.706n,23.039u,1.140p,83.5721631698,103.656394229,155256.037911,39.0105938157,0.0
3.474u,318.126n,13.065u,210.312n,21.024u,499.359n,71.245u,503.787n,134.534u,462.782n,13.646u,1.482p,68.8610674198,90.9422575086,27740.8328495,39.0027716527,0.0
23.029u,502.867n,11.271u,271.241n,4.401u,370.721n,151.916u,343.373n,90.984u,374.524n,21.400u,1.570p,82.0165715296,91.6425304286,126151.417656,38.9416740134,0.0
14.235u,216.956n,4.594u,318.406n,19.367u,196.351n,294.955u,226.631n,96.600u,432.434n,27.805u,1.975p,57.8731647985,90.8998002216,7830.07054786,39.078978176,0.0
20.287u,262.362n,14.418u,415.143n,9.703u,261.467n,185.532u,321.509n,15.195u,274.091n,24.467u,0.774p,77.551187479,92.133090831,75473.9223524,38.9529239833,0.0
17.876u,362.235n,20.462u,315.730n,12.884u,248.129n,70.327u,437.366n,84.676u,470.967n,10.913u,2.439p,74.9763423395,91.4388851343,56034.719427,38.7910005608,0.0
21.643u,396.866n,8.469u,454.630n,14.224u,198.144n,182.758u,370.157n,135.551u,382.754n,17.627u,1.063p,78.7116348224,91.3589629613,86222.964016,38.9370529903,0.0
7.318u,424.340n,18.270u,311.478n,16.160u,335.855n,285.904u,216.642n,138.185u,385.951n,25.675u,2.520p,73.9276759107,90.4212567172,49708.9619687,39.037842576,0.0
14.510u,372.502n,20.522u,197.323n,8.875u,312.641n,95.396u,214.726n,49.702u,265.696n,22.110u,1.051p,86.1905252694,96.33969846,204679.909629,38.6667847774,0.0
5.618u,190.094n,27.767u,217.418n,11.672u,214.802n,299.701u,446.233n,77.760u,351.395n,14.979u,0.635p,90.3941414909,90.8651694233,327771.027127,38.2690636768,0.0
13.381u,222.085n,20.684u,509.484n,12.547u,209.184n,60.802u,407.917n,68.941u,282.216n,26.808u,1.152p,86.2677269169,90.926893297,204822.353667,38.5083943518,0.0
17.785u,184.181n,5.588u,236.027n,6.319u,470.607n,315.469u,341.119n,147.334u,279.324n,25.014u,1.193p,90.4561758958,90.6598163193,333206.065309,38.9254336508,0.0
21.358u,212.908n,19.925u,447.810n,12.693u,332.923n,278.607u,217.775n,129.354u,363.556n,25.701u,1.493p,85.8645223036,95.6101276601,197329.791451,38.9199461364,0.0
12.726u,268.901n,8.088u,260.526n,14.851u,408.345n,48.829u,451.127n,121.720u,496.522n,22.044u,1.977p,76.3199471108,92.9241203657,65530.1882945,38.9149519389,0.0
2.997u,486.338n,24.774u,217.833n,17.770u,237.818n,357.498u,190.935n,125.820u,475.926n,23.933u,2.887p,63.3141391444,92.8610100866,14665.6477804,39.0701993166,0.0
17.967u,404.095n,11.545u,202.090n,12.663u,354.054n,220.194u,357.609n,149.297u,360.143n,29.366u,2.881p,79.547609329,91.5355066856,94956.2791561,38.9906839702,0.0
19.775u,512.653n,13.638u,479.584n,17.614u,363.491n,72.903u,482.670n,49.170u,247.044n,14.358u,0.880p,86.2625087122,92.9675004059,203821.008202,38.2394775727,0.0
4.567u,417.441n,6.883u,306.494n,7.828u,289.868n,120.799u,290.376n,78.598u,270.785n,11.391u,2.005p,75.473648037,90.6266643286,59383.4061738,38.9642622856,0.0
13.301u,240.156n,10.528u,368.685n,12.356u,283.551n,78.746u,516.401n,28.089u,509.907n,11.086u,2.358p,72.2642419031,90.560796769,40971.8907902,38.7136848663,0.0
2.410u,222.403n,11.578u,367.782n,2.284u,211.135n,274.700u,224.867n,27.747u,301.740n,21.305u,0.548p,79.6619316447,103.310205799,98841.3018378,39.0065651343,0.0
17.545u,202.439n,13.401u,513.704n,18.557u,513.451n,257.883u,428.570n,139.223u,331.319n,21.685u,2.171p,88.4439491793,90.0586689852,263857.408499,38.7222627024,0.0
8.628u,511.372n,4.279u,430.142n,17.996u,448.348n,197.578u,489.672n,108.916u,478.080n,27.710u,1.027p,73.1261600036,92.7270656024,45376.4840608,39.0288364338,0.0
4.345u,438.663n,27.967u,264.455n,7.310u,317.778n,179.799u,345.817n,14.034u,287.238n,21.910u,2.300p,75.1984057787,90.2933381956,57501.6913224,38.8870495713,0.0
11.362u,389.520n,3.710u,514.466n,12.793u,406.907n,129.722u,378.489n,134.007u,248.534n,25.088u,2.391p,16.1120293206,179.952279421,75997.4533188,39.8240907429,0.0
12.530u,456.214n,12.398u,407.529n,4.787u,441.741n,144.627u,480.234n,100.770u,489.994n,16.141u,0.739p,84.582412097,92.277833484,169448.395039,38.8258200971,0.0
